tool,seed_cov,afl_edges,total_edges,bitmap_cvg,execs,execs_per_sec,corpus_count,crashes,hangs
synth,19634,24277,133395,18.20%,3307926,152.72,6043,0,0
direct,9790,22523,133395,16.88%,3332625,153.86,6636,0,0
