tool,seed_cov,afl_edges,total_edges,bitmap_cvg,execs,execs_per_sec,corpus_count,crashes,hangs
synth,568,667,5236,12.74%,166929332,7706.80,1311,0,0
direct,163,667,5236,12.74%,141670511,7844.43,1468,0,0
